GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total,Hispanic or Latino,White_Alone,Black_or_African_American_Alone,American_Indian_and_Alaska_Native_Alone,Asian_Alone,Native_Hawaiian_and_Other_Pacific_Islander_Alone,Some_Other_Race_Alone
1400000US53011041201,53011041201,"Census Tract 412.01, Clark County, Washington",5155,239,4370,109,31,198,50,7
1400000US53011041203,53011041203,"Census Tract 412.03, Clark County, Washington",4028,209,3282,115,38,194,29,0
1400000US53011041205,53011041205,"Census Tract 412.05, Clark County, Washington",4195,180,3598,105,40,159,6,14
1400000US53011041206,53011041206,"Census Tract 412.06, Clark County, Washington",5540,273,4682,136,36,252,14,8
1400000US53011041309,53011041309,"Census Tract 413.09, Clark County, Washington",4760,200,3884,91,25,403,11,9
1400000US53011041310,53011041310,"Census Tract 413.10, Clark County, Washington",4874,137,4326,71,31,207,21,16
1400000US53011041312,53011041312,"Census Tract 413.12, Clark County, Washington",2167,102,1883,51,19,43,6,4
1400000US53011041313,53011041313,"Census Tract 413.13, Clark County, Washington",2291,158,1793,94,20,107,25,0
1400000US53011041314,53011041314,"Census Tract 413.14, Clark County, Washington",6333,307,5199,145,64,309,30,18
1400000US53011041315,53011041315,"Census Tract 413.15, Clark County, Washington",5913,205,5047,77,36,337,19,4
1400000US53011041316,53011041316,"Census Tract 413.16, Clark County, Washington",6583,213,5717,92,51,302,41,3
1400000US53011041317,53011041317,"Census Tract 413.17, Clark County, Washington",3060,119,2705,60,27,48,14,2
1400000US53011041318,53011041318,"Census Tract 413.18, Clark County, Washington",4253,197,3641,88,36,138,19,4
1400000US53011041319,53011041319,"Census Tract 413.19, Clark County, Washington",5133,224,4356,90,32,261,22,6
1400000US53011041320,53011041320,"Census Tract 413.20, Clark County, Washington",5414,290,4438,112,45,312,79,3
1400000US53011041321,53011041321,"Census Tract 413.21, Clark County, Washington",2192,51,1904,57,9,110,3,1
1400000US53011041322,53011041322,"Census Tract 413.22, Clark County, Washington",3890,297,2994,130,24,244,35,7
1400000US53011041323,53011041323,"Census Tract 413.23, Clark County, Washington",5714,295,4567,159,45,381,28,13
1400000US53011041324,53011041324,"Census Tract 413.24, Clark County, Washington",6951,301,5283,165,39,919,17,6
1400000US53011041325,53011041325,"Census Tract 413.25, Clark County, Washington",2944,70,2356,33,17,371,7,12
1400000US53011041400,53011041400,"Census Tract 414, Clark County, Washington",4425,125,4048,24,43,79,4,2
1400000US53011041500,53011041500,"Census Tract 415, Clark County, Washington",2470,84,2292,16,9,20,3,1
1400000US53011041600,53011041600,"Census Tract 416, Clark County, Washington",3847,390,2839,194,31,209,7,11
1400000US53011041700,53011041700,"Census Tract 417, Clark County, Washington",4073,797,2733,126,64,162,15,15
1400000US53011041800,53011041800,"Census Tract 418, Clark County, Washington",4021,437,3218,100,53,74,8,1
1400000US53011041900,53011041900,"Census Tract 419, Clark County, Washington",2110,73,1884,45,11,41,5,2
1400000US53011042000,53011042000,"Census Tract 420, Clark County, Washington",1524,58,1368,21,11,17,9,6
1400000US53011042100,53011042100,"Census Tract 421, Clark County, Washington",2612,116,2293,46,26,39,13,3
1400000US53011042300,53011042300,"Census Tract 423, Clark County, Washington",2776,226,2324,46,49,29,1,0
1400000US53011042400,53011042400,"Census Tract 424, Clark County, Washington",1448,65,1228,89,17,33,2,0
1400000US53011042500,53011042500,"Census Tract 425, Clark County, Washington",1116,70,965,14,6,15,15,1
1400000US53011042600,53011042600,"Census Tract 426, Clark County, Washington",4486,292,3718,163,47,94,42,3
