GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53053062600,53053062600,"Census Tract 626, Pierce County, Washington",2977,2691,1607,547,83,185,28,241,286,248,82,24,33,10,31,21,12,13,10,1,0,1,3,6,1,31,6,11,3,3,2,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,7,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053062801,53053062801,"Census Tract 628.01, Pierce County, Washington",6130,5493,3397,1310,60,387,102,237,637,562,248,62,87,27,39,32,27,12,9,2,2,4,3,3,5,72,33,21,2,3,0,4,0,6,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053062802,53053062802,"Census Tract 628.02, Pierce County, Washington",4112,3675,2177,660,44,465,94,235,437,373,160,41,68,19,23,14,21,6,6,1,0,2,6,2,4,57,20,6,3,8,0,0,0,5,1,0,4,0,1,7,0,0,1,1,0,0,7,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053062900,53053062900,"Census Tract 629, Pierce County, Washington",7365,6623,4078,1239,139,545,130,492,742,646,201,90,135,16,47,39,44,8,18,8,5,1,15,9,10,80,36,14,3,6,9,0,4,2,3,0,2,1,0,0,0,0,0,0,0,0,16,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053063000,53053063000,"Census Tract 630, Pierce County, Washington",2956,2620,1794,317,39,177,80,213,336,298,100,71,46,7,46,4,6,0,3,0,5,0,8,1,1,37,8,8,3,4,2,0,1,6,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053063100,53053063100,"Census Tract 631, Pierce County, Washington",4270,3876,2743,415,72,408,77,161,394,345,97,55,59,36,20,29,8,9,4,11,0,5,10,2,0,41,19,10,2,4,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,8,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053063200,53053063200,"Census Tract 632, Pierce County, Washington",4855,4418,3142,400,117,450,64,245,437,371,106,78,98,15,24,8,10,4,4,6,0,0,13,5,0,56,29,10,1,2,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,10,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053063300,53053063300,"Census Tract 633, Pierce County, Washington",7857,7136,3280,1110,158,1342,134,1112,721,623,223,76,102,15,66,25,42,6,4,3,0,7,31,15,8,91,25,26,2,5,11,1,1,10,0,0,1,1,0,0,0,0,2,0,6,0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053063400,53053063400,"Census Tract 634, Pierce County, Washington",7592,6932,4378,733,172,873,170,606,660,594,219,95,117,18,61,12,33,4,5,5,0,0,16,7,2,62,24,14,4,0,12,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053063501,53053063501,"Census Tract 635.01, Pierce County, Washington",4164,3762,1980,691,39,622,103,327,402,343,119,46,73,9,38,18,13,2,15,1,0,2,4,3,0,49,17,6,5,2,9,0,4,1,0,0,4,0,0,1,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053063502,53053063502,"Census Tract 635.02, Pierce County, Washington",5179,4691,1938,747,52,1420,201,333,488,421,105,33,145,12,21,12,50,6,6,8,0,1,20,0,2,61,17,16,0,1,6,0,0,10,5,0,3,0,1,1,1,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53053070100,53053070100,"Census Tract 701, Pierce County, Washington",3406,3282,3159,20,33,48,5,17,124,102,10,51,28,4,5,3,0,0,0,1,0,0,0,0,0,20,1,0,1,0,4,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
